"code_zone_IPRES","code_sector_IPRES","agence_IPRES","code_zone_CSS","code_sector_CSS","agence_CSS"
PIKINE DAGOUDANE,PIKINE SUD,I_PK,PIKINE DAGOUDANE,PIKINE SUD,C_GY
COM. RICHARD-TOLL,COM. RICHARD-TOLL,I_RT,COM. RICHARD-TOLL,COM. RICHARD-TOLL,C_SL
COM. POPOGUINE,COM. POPOGUINE,I_MB,COM. POPOGUINE,COM. POPOGUINE,C_MB
BAMBA  THIALENE,BAMBA  THIALENE,I_TB,BAMBA  THIALENE,BAMBA  THIALENE,C_TB
PARCELLES ASSAINIES,Grand YOFF,I_PE,PARCELLES ASSAINIES,Grand YOFF,C_VD
BOYNGUEL BAMBA,BOYNGUEL BAMBA,I_TB,BOYNGUEL BAMBA,BOYNGUEL BAMBA,C_TB
DAKAR PLATEAU,Plateau,I_RF,DAKAR PLATEAU,Plateau,C_RF
DJIBABOUYA,SANSAMBA,I_KO,DJIBABOUYA,SANSAMBA,C_KO
SABODOLA,SABODALA,I_TB,SABODOLA,SABODALA,C_TB
BABA GARAGE,DINGUIRAYE,I_DI,BABA GARAGE,DINGUIRAYE,C_DI
MOUDERY,MOUDERY,I_TB,MOUDERY,MOUDERY,C_TB
COM. SENDOU,COM. SENDOU,I_MB,COM. SENDOU,COM. SENDOU,C_MB
TAIF,SADIO,I_DI,TAIF,SADIO,C_DI
PAMBAL,PIRE GOUREYE,I_TH,PAMBAL,PIRE GOUREYE,C_TH
MAKACOULIBANTANG,MAKACOULIBATANG,I_TB,MAKACOULIBANTANG,MAKACOULIBATANG,C_TB
ALMADIES,NGOR,I_PE,ALMADIES,NGOR,C_VD
COM. GANDIAYE,COM. GANDIAYE,I_KA,COM. GANDIAYE,COM. GANDIAYE,C_KA
COM. NGAPAROU,COM. NGAPAROU,I_MB,COM. NGAPAROU,COM. NGAPAROU,C_MB
COM. DIOFIOR,COM. DIOFIOR,I_KA,COM. DIOFIOR,COM. DIOFIOR,C_KA
NIAKHAR,NIAKHAR,I_KA,NIAKHAR,NIAKHAR,C_KA
PIKINE DAGOUDANE,Pikine EST,I_PK,PIKINE DAGOUDANE,Pikine EST,C_GY
COM. DEMBANCANE,COM. DEMBANCANE,I_MA,COM. DEMBANCANE,COM. DEMBANCANE,C_MA
NDANDE,BADEGNE OUOLOF,I_LG,NDANDE,BADEGNE OUOLOF,C_LG
COM. NDIOUM,COM. NDIOUM,I_SL,COM. NDIOUM,COM. NDIOUM,C_SL
SALDE,BOKE DIALLOUBE,I_SL,SALDE,BOKE DIALLOUBE,C_SL
COM. SALEMATA,COM. SALEMATA,I_TB,COM. SALEMATA,COM. SALEMATA,C_TB
BABA GARAGE,BABA GARAGE,I_DI,BABA GARAGE,BABA GARAGE,C_DI
COM. MBORO,COM. MBORO,I_TH,COM. MBORO,COM. MBORO,C_TH
RAO,NDIEBENE GANDIOLE,I_SL,RAO,NDIEBENE GANDIOLE,C_SL
COM. NGANDA,COM. NGANDA,I_KA,COM. NGANDA,COM. NGANDA,C_KA
BAMBYLOR,BAMBYLOR,I_TB,BAMBYLOR,BAMBYLOR,C_TB
MAKACOULIBANTANG,NDOGA BABACAR,I_TB,MAKACOULIBANTANG,NDOGA BABACAR,C_TB
DAKAR PLATEAU,Plateau,I_PL,DAKAR PLATEAU,Plateau,C_WI
TATTAGUINE,TATTAGUINE,I_KA,TATTAGUINE,TATTAGUINE,C_KA
COM. KOUMPENTOUM,COM. KOUMPENTOUM,I_TB,COM. KOUMPENTOUM,COM. KOUMPENTOUM,C_TB
SINDIA,DIASS,I_MB,SINDIA,DIASS,C_MB
PAMBAL,PAMBAL,I_TH,PAMBAL,PAMBAL,C_TH
NIAYES,MALIKA,I_PK,NIAYES,MALIKA,C_GY
NDAME,DALLA NGABOU,I_DI,NDAME,DALLA NGABOU,C_DI
CAS-CAS,MERY,I_SL,CAS-CAS,MERY,C_SL
KATABA I,KATABA I,I_ZI,KATABA I,KATABA I,C_ZI
GAMADJI SARE,GUEDE VILLAGE,I_SL,GAMADJI SARE,GUEDE VILLAGE,C_SL
ALMADIES,MERMOZ SACRE COEUR,I_PL,ALMADIES,MERMOZ SACRE COEUR,C_WI
LOUDIA OUOLOF,MLOMP,I_ZI,LOUDIA OUOLOF,MLOMP,C_ZI
NDINDY,GADE ESCALE,I_RF,NDINDY,GADE ESCALE,C_RF
AR.NDORNA,BIGNARABE,I_KO,AR.NDORNA,BIGNARABE,C_KO
GRAND DAKAR,SICAP LIBERTE,I_DP,GRAND DAKAR,SICAP LIBERTE,C_WI
GRAND DAKAR,HLM,I_PE,GRAND DAKAR,HLM,C_WI
DAKAR PLATEAU,Plateau,I_PL,DAKAR PLATEAU,Plateau,C_PL
COM. RICHARD-TOLL,COM. RICHARD-TOLL,I_RT,COM. RICHARD-TOLL,COM. RICHARD-TOLL,C_RT
VILLE DE THIES,THIES OUEST,I_TH,VILLE DE THIES,THIES OUEST,C_TH
COM. TIVAOUANE,COM. TIVAOUANE,I_TH,COM. TIVAOUANE,COM. TIVAOUANE,C_TH
COM. ROSS-BETHIO,COM. ROSS-BETHIO,I_RT,COM. ROSS-BETHIO,COM. ROSS-BETHIO,C_RT
NOTTO,NOTTO,I_TH,NOTTO,NOTTO,C_TH
RUFISQUE,RUFISQUE CENTRE (NORD),I_RF,RUFISQUE,RUFISQUE CENTRE (NORD),C_RF
PARCELLES ASSAINIES,Grand YOFF,I_PK,PARCELLES ASSAINIES,Grand YOFF,C_GY
COM. BIGNONA,COM. BIGNONA,I_ZI,COM. BIGNONA,COM. BIGNONA,C_ZI
ALMADIES,MERMOZ SACRE COEUR,I_DP,ALMADIES,MERMOZ SACRE COEUR,C_VD
COM. NDOFFANE,COM. NDOFFANE,I_KA,COM. NDOFFANE,COM. NDOFFANE,C_KA
COM. CAYAR,COM. CAYAR,I_TH,COM. CAYAR,COM. CAYAR,C_TH
PIKINE DAGOUDANE,DJIDAH THIAROYE KAO,I_PK,PIKINE DAGOUDANE,DJIDAH THIAROYE KAO,C_GY
NDOULO,NDOULO,I_DI,NDOULO,NDOULO,C_DI
COM. DAGANA,COM. DAGANA,I_RT,COM. DAGANA,COM. DAGANA,C_RT
COM. DIAMNIADIO,COM. DIAMNIADIO,I_RF,COM. DIAMNIADIO,COM. DIAMNIADIO,C_RF
COM. BARGNY,COM. BARGNY,I_PE,COM. BARGNY,COM. BARGNY,C_VD
COM. BARGNY,COM. BARGNY,I_TB,COM. BARGNY,COM. BARGNY,C_TB
COM. OUROSSOGUI,COM. OUROSSOGUI,I_MA,COM. OUROSSOGUI,COM. OUROSSOGUI,C_MA
NIAGUIS,BOUTOUPA CAMAR,I_ZI,NIAGUIS,BOUTOUPA CAMAR,C_ZI
BAMBYLOR,TIVAOUANE PEULH-NIAGHA,I_RF,BAMBYLOR,TIVAOUANE PEULH-NIAGHA,C_RF
THILLE BOUBACAR,FANAYE,I_SL,THILLE BOUBACAR,FANAYE,C_SL
COM. DEMETTE,COM. DEMETTE,I_SL,COM. DEMETTE,COM. DEMETTE,C_SL
COM. GUEDE CHANTIER,COM. GUEDE CHANTIER,I_SL,COM. GUEDE CHANTIER,COM. GUEDE CHANTIER,C_SL
COM. GUEOUL,COM. GUEOUL,I_LG,COM. GUEOUL,COM. GUEOUL,C_LG
KEUR MOMAR SARR,NGUER MALAL,I_LG,KEUR MOMAR SARR,NGUER MALAL,C_LG
DAKAR PLATEAU,Plateau,I_PE,DAKAR PLATEAU,Plateau,C_WI
FAFACOUROU,FAFACOUROU,I_KO,FAFACOUROU,FAFACOUROU,C_KO
KAEL,DAROU NAHIM,I_DI,KAEL,DAROU NAHIM,C_DI
COM. SAINT LOUIS,COM. SAINT LOUIS,I_RT,COM. SAINT LOUIS,COM. SAINT LOUIS,C_RT
COM. SAINT LOUIS,COM. SAINT LOUIS,I_SL,COM. SAINT LOUIS,COM. SAINT LOUIS,C_RT
COM. DIAWARA,COM. DIAWARA,I_TB,COM. DIAWARA,COM. DIAWARA,C_TB
DAROU MOUSTY,DAROU MARNANE,I_LG,DAROU MOUSTY,DAROU MARNANE,C_LG
COM. KIDIRA,COM. KIDIRA,I_TB,COM. KIDIRA,COM. KIDIRA,C_TB
BAMBYLOR,BAMBYLOR,I_PE,BAMBYLOR,BAMBYLOR,C_VD
NDINDY,NDINDY,I_DI,NDINDY,NDINDY,C_DI
COM. SARAYA,COM. SARAYA,I_TB,COM. SARAYA,COM. SARAYA,C_TB
DAKAR PLATEAU,MEDINA,I_PL,DAKAR PLATEAU,MEDINA,C_WI
ALMADIES,YOFF,I_PE,ALMADIES,YOFF,C_VD
COM. DIOURBEL,COM. DIOURBEL,I_DI,COM. DIOURBEL,COM. DIOURBEL,C_DI
COM. KEDOUGOU,COM. KEDOUGOU,I_TB,COM. KEDOUGOU,COM. KEDOUGOU,C_TB
BAMBYLOR,YENE,I_RF,BAMBYLOR,YENE,C_RF
