"secteur_activite","taux_AT","activite_principale"
AGENCES DE GARDIENNAGE,"1",AGENCES DE GARDIENNAGE
"GARDIENNAGE INTERIM, COMMERCE, SECURITE","3","GARDIENNAGE INTERIM, COMMERCE, SECURITE"
TELE-SERVICES,"1",TELE-SERVICES
ACTIVITES MAL DESIGNEES,"5",ACTIVITES MAL DESIGNEES
AGENCE DE VOYAGE ET TOURISME,"1",AGENCE DE VOYAGE ET TOURISME
FABRIQUE ARTICLES HABILLEMENT,"3",FABRIQUE ARTICLES HABILLEMENT
INDUSTRIES ALIMENTAIRES,"3",INDUSTRIES ALIMENTAIRES
SERVICES FOURNIS AUX ENTREPRISES,"1",SERVICES FOURNIS AUX ENTREPRISES
LOCATIONS DE MACHINES ET MATER,"1",LOCATIONS DE MACHINES ET MATER
TELECOMMUNICATIONS,"5",TELECOMMUNICATIONS
FILMS RECREATIFS,"1",FILMS RECREATIFS
INDUST DE MEUBLES(EN BOIS),"3",INDUST DE MEUBLES(EN BOIS)
SOCIETE DE SERVICES,"1",SOCIETE DE SERVICES
"INSERTIONS PUBLICITAIRES, COMMUNICATIONS, PUBLICATIONS ET ACTIVITES ANNEXES","3","INSERTIONS PUBLICITAIRES, COMMUNICATIONS, PUBLICATIONS ET ACTIVITES ANNEXES"
INDUSTR BOIS,"3",INDUSTR BOIS
Administration publique et défense,"1",ADMINISTRATION PUBLIQUE ET DEFENSE NAT
SERVICES ENTR ET NETTOIEMENT,"3",SERVICES ENTR ET NETTOIEMENT
RESTAURANTS -BARS-DEBITS,"3",RESTAURANTS -BARS-DEBITS
BLANCHISSERIE,"3",BLANCHISSERIE
BOULANGERIE-PATISSERIE,"3",BOULANGERIE-PATISSERIE
GARAGE AVEC REPARATION,"3",GARAGE AVEC REPARATION
SOCIAL 3 %,"3",SOCIAL 3 %
INSTITUTIONS SCIENTIFIQUES,"1",INSTITUTIONS SCIENTIFIQUES
SOCIAL 5 %,"5",SOCIAL 5 %
CHASSE ET PROTECT DU GIBIER,"3",CHASSE ET PROTECT DU GIBIER
INDUSTRIES ALIMENTAIRES,"1",INDUSTRIES ALIMENTAIRES
VENTE DETAIL SANS TR.NI LIVR.,"1",VENTE DETAIL SANS TR.NI LIVR.
RAFFINERIE DE PETROLE,"5",RAFFINERIE DE PETROLE
REP. DIPLOMATIQUE ET CONSUL.,"1",REP. DIPLOMATIQUE ET CONSUL.
ADMINISTRATION DEFENSE NATION.,"1",ADMINISTRATION DEFENSE NATION.
SERVICE PUBLIC,"1",SERVICE PUBLIC
COLLECTVITES LOCALES,"1",COLLECTVITES LOCALES
FICTIF,"1",FICTIF
PRESTATIONS DE SERVICES DE PERSONNES,"1",PRESTATIONS DE SERVICES DE PERSONNES
ACTIVITES  ANNEXES  DE  L''AGRICULTURE,"3",ACTIVITES  ANNEXES  DE  L''AGRICULTURE
COMMERCE DE DETAIL,"1",COMMERCE DE DETAIL
COMMUNICATION,"1",COMMUNICATION
industries alimentaires,"1",industries alimentaires
PHARMACIE SANS OFFICINE,"1",PHARMACIE SANS OFFICINE
ONG  droits de l''homme et autres,"1",ONG  droits de l''homme et autres
Gardiennage et  Intérim,"1",Gardiennage et  Intérim
DISTRIBUTION PUBLIQUE D EAU,"3",DISTRIBUTION PUBLIQUE D EAU
FAB MACHINES NON ELECTRIQUES,"3",FAB MACHINES NON ELECTRIQUES
CHARBON,"5",CHARBON
BIBLIOTHEQUES-MUSEES,"1",BIBLIOTHEQUES-MUSEES
COMMERCE D''HYDROCARBURES,"3",COMMERCE D''HYDROCARBURES
ACTIVITES TEST,"3",ACTIVITES TEST
EMPLOYEURS DU PLATEAU,"1",EMPLOYEURS DU PLATEAU
ELECTRICITE GAZ,"5",ELECTRICITE GAZ
INDUSTRIE DU VERRE,"3",INDUSTRIE DU VERRE
ENTREPRISES DE GARDIENNAGE,"1",ENTREPRISES DE GARDIENNAGE
